Assembly,estimated_coverage,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# total reads,# left,# right,Mapped (%),Properly paired (%),Avg. coverage depth,Coverage >= 1x (%),# N's per 100 kbp,genes,mRNA,tRNA,ncRNA,rRNA,avg_gene_length,BGC_count,kc_proportion,BGC_types,total_BGC_length,BGC_mean_length,BGC_median_length,contig_edge_proportion,average_min_cosine_score,GCC min > 0.4,novelty score,Query,Accession,Identity,Bitscore,E-value,Subject Name,BUSCO - C,BUSCO - S,BUSCO - D,BUSCO - F,BUSCO - M,isolate_class,isolate_order,isolate_family,isolate_genus,Host_ID,Host_location,Host_Class,Host_Order,Host_Family,Host_Genus,Host_Species,Photobiont,Growth_form,Macroclimate
186,5.83,49861,4178,1,0,0,0,25928086,5591624,7396,0,0,0,19260,7396,15975842,52.61,844,647,6798,12226,1614853,807255,807255,60.25,59.68,7,99.99,5.26,5557,5528,29,0,0,578.8,0,0,,0,0,0,0,0,0,0,NODE_249_length_1944_cov_79.193753|F,NR_134432,99.615,475,1.93E-134,Trichoderma caerulescens CBS 130011 ITS region; from TYPE material,114 (8.69%),114 (8.69%),0 (0.0%),329 (25.08%),869 (66.23%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,314,Mangarakau knuckle hill,Lecanoromycetes,Pertusariales,Coccotremataceae,Coccotrema,porinopsis,Tripartite,Crustose,"Mild, humid"
187,45.1,14589,9355,1648,197,4,0,33516992,30608537,12230655,2476536,111133,0,12080,30538,32588471,51.31,3913,2192,2571,5352,0,0,0,0,0,0,0,0.49,11215,11078,137,0,0,1414.84,39,0.13,"T1PKS, terpene, NRPS-like, NRPS",376541,9654.9,7812,1,0.040854573,0.040854573,1.555747769,NODE_13837_length_326_cov_283.000000|F|ITS2,NR_134432,99.422,315,1.48E-86,Trichoderma caerulescens CBS 130011 ITS region; from TYPE material,1158 (88.26%),1155 (88.03%),3 (0.23%),120 (9.15%),34 (2.59%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,318,Mangarakau knuckle hill,Lecanoromycetes,Lecanorales,Icmadophilaceae,Siphula,decumbens,Green,Fruticose,"Mild, humid"
188,43.87,11266,1670,192,53,2,0,8736240,4620755,1699153,757850,52509,0,3879,27025,6119886,60.65,2293,1017,612,1640,3863834,1930576,1930576,82.8,82.24,67,99.95,20.75,,,,,,,2,0,"NRPS, NRPS-like",15081,7540.5,7540.5,1,0.06380673,0.06380673,0.785043609,,,,,,,,,,,,unidentified,unidentified,unidentified,unidentified,318,Mangarakau knuckle hill,Lecanoromycetes,Lecanorales,Icmadophilaceae,Siphula,decumbens,Green,Fruticose,"Mild, humid"
189,4.04,46660,528,0,0,0,0,17521416,636064,0,0,0,0,8290,2482,5641077,48.59,663,568,3327,5634,1124106,562003,562003,29.41,29.19,7,100,1.77,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_29486_length_279_cov_100.276786|F,NR_156290,97.857,483,6.46E-137,Fusarium venenatum ITS region; from TYPE material,23 (1.8%),23 (1.8%),0,167 (12.7%),1122 (85.5%),Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,328,Mangarakau Patarau River Walk,Lecanoromycetes,Lecanorales,Physciaceae,Physcia,poncinsii,Green,Foliose,"Mild, humid"
190,2.28,27323,44,0,0,0,0,8760424,60624,0,0,0,0,2185,3509,1375724,51.08,605,541,921,1523,621540,310744,310744,11.56,11.47,5,99.99,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_9734_length_321_cov_17.616541|F|ITS2,NR_163549,100,302,1.08E-82,Penicillium neoechinulatum CBS 169.87 ITS region; from TYPE material,8 (0.6%),8 (0.6%),0,70 (5.3%),1234 (94.1%),Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,328,Mangarakau Patarau River Walk,Lecanoromycetes,Lecanorales,Physciaceae,Physcia,poncinsii,Green,Foliose,"Mild, humid"
191,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unidentified,unidentified,unidentified,328,Mangarakau Patarau River Walk,Lecanoromycetes,Lecanorales,Physciaceae,Physcia,poncinsii,Green,Foliose,"Mild, humid"
192,0.62,7689,4,0,0,0,0,2025679,7757,0,0,0,0,78,3551,51551,50.74,597,529,30,53,153699,76835,76835,2.87,2.73,8,99.97,19.4,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_2719_length_264_cov_10.153110|F,NR_155109,98.496,468,1.71E-132,Gelasinospora saitoi CBS 435.74 ITS region; from TYPE material,,,,,,Sordariomycetes,Sordariales,Sordariaceae,Gelasinospora,328,Mangarakau Patarau River Walk,Lecanoromycetes,Lecanorales,Physciaceae,Physcia,poncinsii,Green,Foliose,"Mild, humid"
193,17.12,18675,10770,1327,136,0,0,35211736,30866574,9525840,1622981,0,0,14955,17589,33890013,50.85,3177,1779,3199,6755,0,0,0,0,0,0,0,0.77,12304,12192,112,0,0,1297.17,35,0.14,"T1PKS, NRPS-like, NRPS",300079,8573.69,8213,0.97,0.028962214,0.028962214,1.423481072,NODE_8572_length_1374_cov_72.491580|F|ITS2,NR_154575,99.415,309,6.79E-85,Trichoderma linzhiense HMAS 248846 ITS region; from TYPE material,1109 (84.53%),1104 (84.15%),5 (0.38%),164 (12.5%),39 (2.97%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,336,Mangarakau Patarau River Walk,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,dissimilis,Cyano,Foliose,"Mild, humid"
194,25.63,26335,11522,437,14,0,0,33182659,25074611,2820158,166931,0,0,19126,15871,30553076,51.51,2015,1203,4656,9556,0,0,0,0,0,0,0,0.16,10635,10553,82,0,0,1175.41,25,0.12,"T1PKS, NRPS",180605,7224.2,7213,1,0.042130174,0.042130174,1.157510922,NODE_24873_length_304_cov_69.485876|F|ITS2,NR_164584,99.419,311,1.90E-85,Trichoderma rugulosum SFC 20180301-001 ITS region; from TYPE material,823 (62.73%),818 (62.35%),5 (0.38%),325 (24.77%),164 (12.5%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,336,Mangarakau Patarau River Walk,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,dissimilis,Cyano,Foliose,"Mild, humid"
195,92.9,29579,1789,178,75,11,1,15831611,4869170,2119572,1397005,464165,123251,8089,123251,9110226,53.31,1089,692,1488,4192,8528902,4260930,4260930,90.76,90.23,114,99.9,100,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_18552_length_300_cov_4.751020|F|ITS2,NR_167945,100,110,1.98E-25,Umbelopsis fusiformis CBS 385.85 ITS region; from TYPE material,27 (2.1%),27 (2.1%),0,153 (11.7%),1132 (86.2%),Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,336,Mangarakau Patarau River Walk,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,dissimilis,Cyano,Foliose,"Mild, humid"
196,14.5,47600,14728,78,0,0,0,42115874,25111483,469000,0,0,0,30291,8783,36292376,52.78,1362,900,8742,16950,3968884,1984047,1984047,86.34,85.77,10,99.99,7.44,13522,13439,83,0,0,703.77,0,0,,0,0,0,0,0,0,0,NODE_881_length_2993_cov_89.069095|F|ITS2,NR_120186,100,302,1.08E-82,Pestalotiopsis rosea MFLUCC 12-0258 ITS region; from TYPE material,310 (23.63%),308 (23.48%),2 (0.15%),504 (38.41%),498 (37.96%),Sordariomycetes,Xylariales,Sporocadaceae,Pestalotiopsis,380,Wharariki Beach,Lecanoromycetes,Trichotheliales,Trichotheliaceae,Porina,exocha,Green,Crustose,"Mild, humid"
197,71.84,57190,2972,30,6,1,0,26964096,4111339,286702,123415,28222,0,18276,28222,14448750,50.1,781,617,6530,11758,2618138,1308813,1308813,72.85,72.08,17,99.96,35.16,5733,5701,32,0,0,543.26,0,0,,0,0,0,0,0,0,0,NODE_339_length_1643_cov_39.769521|F,NR_159861,99.234,942,0,Fusarium babinda CBS 397.96 ITS region; from TYPE material,48 (3.66%),48 (3.66%),0 (0.0%),300 (22.87%),964 (73.48%),Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,380,Wharariki Beach,Lecanoromycetes,Trichotheliales,Trichotheliaceae,Porina,exocha,Green,Crustose,"Mild, humid"
198,35.17,24146,13202,816,43,0,0,38217668,32078291,5430597,546603,0,0,19048,22955,36301764,49.65,2472,1502,4567,9272,0,0,0,0,0,0,0,0.61,12903,12790,113,0,0,1306.95,34,0.15,"terpene, T1PKS, NRPS-like, NRPS",340868,10025.53,8970,1,0.035464827,0.035464827,1.346492094,NODE_23000_length_314_cov_183.181818|F|ITS2,NR_159861,100,300,3.84E-82,Fusarium babinda CBS 397.96 ITS region; from TYPE material,1096 (83.54%),1091 (83.16%),5 (0.38%),159 (12.12%),57 (4.34%),Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,380,Wharariki Beach,Lecanoromycetes,Trichotheliales,Trichotheliaceae,Porina,exocha,Green,Crustose,"Mild, humid"
199,8.86,36125,11100,59,0,0,0,32066887,19451570,353035,0,0,0,22257,8827,27473923,51.32,1418,926,6309,12299,2442379,1220786,1220786,87.73,87.12,9,99.99,6.15,10526,10456,70,0,0,841.07,0,0,,0,0,0,0,0,0,0,NODE_4641_length_1640_cov_241.615773|F,NR_138447,97.688,900,0,Trichoderma virilente DAOM 234234 ITS region; from reference material,451 (34.38%),450 (34.3%),1 (0.08%),472 (35.98%),389 (29.65%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,380,Wharariki Beach,Lecanoromycetes,Trichotheliales,Trichotheliaceae,Porina,exocha,Green,Crustose,"Mild, humid"
200,21.62,28462,11859,315,7,0,0,33245430,24296620,1938661,85308,0,0,19955,16075,30103717,45.85,1867,1147,5103,10257,0,0,0,0,0,0,0,1.93,13649,13573,76,0,0,1297.43,1,0,NRPS-like,5859,5859,5859,1,0.114657707,0.114657707,1.30167456,NODE_6685_length_1580_cov_158.816242|F|ITS1,NR_111658,98.547,728,0,Absidia glauca CBS 101.08 ITS region; from TYPE material,739 (56.33%),580 (44.21%),159 (12.12%),380 (28.96%),193 (14.71%),Mucoromycetes,Mucorales,Cunninghamellaceae,Absidia,380,Wharariki Beach,Lecanoromycetes,Trichotheliales,Trichotheliaceae,Porina,exocha,Green,Crustose,"Mild, humid"
201,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unidentified,unidentified,unidentified,380,Wharariki Beach,Lecanoromycetes,Trichotheliales,Trichotheliaceae,Porina,exocha,Green,Crustose,"Mild, humid"
202,0.31,1486,0,0,0,0,0,363231,0,0,0,0,0,3,764,1952,65.11,659,529,2,3,82854,41427,41427,1.07,1.05,36,100,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_101_length_299_cov_9.663934|F|ITS2,NR_138441,100,324,2.49E-89,Trichoderma viride CBS 119325 ITS region; from TYPE material,,,,,,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,386,Knight's bush,Lecanoromycetes,Lecanorales,Stereocaulaceae,Stereocaulon,ramulosum,Tripartite,Fruticose,"Cold, sub-humid"
203,65.58,3564,2573,1603,1070,396,79,33991735,33557870,30988747,27180427,16122809,5179978,2876,124320,33777579,53.94,23970,12655,428,908,18038963,9011502,9011502,99.72,99.36,69,99.99,7.67,11654,11537,117,0,0,1469.5,23,0.43,"T3PKS, NRPS-like, terpene, T1PKS, NRPS",503259,21880.83,20886,0.91,0.07464059,0.07464059,1.753022475,NODE_2562_length_1018_cov_87.351291|F,NR_135942,98.397,547,8.73E-156,Ascochyta phacae CBS 184.55 ITS region; from TYPE material,1249 (95.2%),1244 (94.82%),5 (0.38%),46 (3.51%),17 (1.3%),Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,386,Knight's bush,Lecanoromycetes,Lecanorales,Stereocaulaceae,Stereocaulon,ramulosum,Tripartite,Fruticose,"Cold, sub-humid"
204,2.98,36269,76,0,0,0,0,11798226,87170,0,0,0,0,3199,2441,2010861,49.67,608,545,1361,2235,829514,414749,414749,12.61,12.52,6,100,1.49,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_15787_length_302_cov_43.080972|F|ITS2,NR_138447,100,320,3.18E-88,Trichoderma virilente DAOM 234234 ITS region; from reference material,6 (0.5%),6 (0.5%),0,74 (5.6%),1232 (93.9%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,386,Knight's bush,Lecanoromycetes,Lecanorales,Stereocaulaceae,Stereocaulon,ramulosum,Tripartite,Fruticose,"Cold, sub-humid"
205,3.63,9424,256,0,0,0,0,3566320,352301,0,0,0,0,1638,3192,1262011,61.95,748,599,585,1058,400680,200330,200330,28.76,28.65,9,99.98,7.92,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_8354_length_220_cov_1.151515|F|ITS2,NR_168207,100,69.4,1.60E-13,Tolypocladium nubicola CBS 568.84 ITS region; from TYPE material,,,,,,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Tolypocladium,386,Knight's bush,Lecanoromycetes,Lecanorales,Stereocaulaceae,Stereocaulon,ramulosum,Tripartite,Fruticose,"Cold, sub-humid"
206,41.71,2418,2019,1420,990,431,128,33894580,33685494,32028982,28897940,19936274,9481795,2202,164664,33817692,53.89,30299,15571,321,707,11431480,5713261,5713261,99.69,99.53,40,100,1.63,11816,11691,125,0,0,1430.82,21,0.43,"T3PKS, NRPS-like, terpene, T1PKS, NRPS",464899,22138.05,21307,0.81,0.069449795,0.069449795,1.760803934,NODE_1954_length_1289_cov_39.963855|F,NR_158252,96.93,773,0.00E+00,Boeremia trachelospermi CGMCC 3.18222 ITS region; from TYPE material,1209 (92.15%),1205 (91.84%),4 (0.3%),72 (5.49%),31 (2.36%),Dothideomycetes,Pleosporales,Didymellaceae,Boeremia,386,Knight's bush,Lecanoromycetes,Lecanorales,Stereocaulaceae,Stereocaulon,ramulosum,Tripartite,Fruticose,"Cold, sub-humid"
207,8.05,41929,7439,4,0,0,0,27593250,11347228,21038,0,0,0,20544,5504,20596011,52.76,1079,754,6429,12168,2236422,1118036,1118036,76.92,76.54,9,99.99,3.98,10214,10177,37,0,0,778.71,0,0,,0,0,0,0,0,0,0,NODE_27197_length_373_cov_86.578616|F|ITS1,NR_166015,100,339,9.35E-94,Trichoderma caribbaeum var. caribbaeum CBS 119093 ITS region; from TYPE material,343 (26.14%),340 (25.91%),3 (0.23%),544 (41.46%),425 (32.39%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,386,Knight's bush,Lecanoromycetes,Lecanorales,Stereocaulaceae,Stereocaulon,ramulosum,Tripartite,Fruticose,"Cold, sub-humid"
208,30.72,10496,7582,2341,565,9,0,35077078,33495934,19954225,7652670,254900,0,9044,36382,34556874,50,5817,3293,1845,3803,0,0,0,0,0,0,0,0.46,11250,11076,174,0,0,1463.77,44,0.09,"T1PKS, terpene, NRPS-like, NRPS",503332,11439.36,9166.5,1,0.041522231,0.041522231,1.855846361,NODE_4412_length_2811_cov_80.872206|F,NR_138441,100,475,1.91E-134,Trichoderma viride CBS 119325 ITS region; from TYPE material,1191 (90.78%),1187 (90.47%),4 (0.3%),94 (7.16%),27 (2.06%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,392,Whareka-Te Kau walk,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,latifrons,Tripartite,Foliose,"Mild, humid"
209,22.92,21195,10717,673,25,0,0,31548878,25914270,4375189,286381,0,0,15985,19208,29729115,51.37,2446,1454,3792,7734,0,0,0,0,0,0,0,0.24,10494,10412,82,0,0,1311.53,23,0.17,"T1PKS, NRPS-like, NRPS",160634,6984.09,6887,1,0.033605926,0.033605926,1.228328936,NODE_10120_length_1082_cov_64.878534|F|ITS2,NR_138451,100,320,3.18E-88,Trichoderma hispanicum CBS 130540 ITS region; from TYPE material,990 (75.46%),988 (75.3%),2 (0.15%),227 (17.3%),95 (7.24%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,392,Whareka-Te Kau walk,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,latifrons,Tripartite,Foliose,"Mild, humid"
210,0.31,1174,1,0,0,0,0,285137,1001,0,0,0,0,4,1001,2639,56.38,576,558,2,3,73564,36782,36782,0.64,0.61,12,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,unidentified,unidentified,unidentified,unidentified,392,Whareka-Te Kau walk,Lecanoromycetes,Peltigerales,Lobariaceae,Sticta,latifrons,Tripartite,Foliose,"Mild, humid"
211,18.68,25000,11330,333,8,0,0,31479599,23845280,2057152,88863,0,0,18564,14721,29063325,51.61,1949,1191,4683,9459,5236326,2617543,2617543,90.83,90.68,17,100,0.38,10927,10859,68,0,0,1198.47,17,0.18,"T1PKS, NRPS-like, NRPS",119527,7031,6465,1,0.049680682,0.049680682,1.106039383,NODE_23837_length_307_cov_80.277778|F|ITS2,NR_138447,100,320,3.18E-88,Trichoderma virilente DAOM 234234 ITS region; from reference material,857 (65.32%),855 (65.17%),2 (0.15%),324 (24.7%),131 (9.98%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,403,"Nichols Creek, Dunedin",Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,multifida,Tripartite,Foliose,"Cool, semi-arid"
212,33.56,8752,183,10,2,0,0,2773502,419040,75766,23299,0,0,439,12528,588996,55.36,1838,880,89,208,672903,336318,336318,65.5,65.29,95,99.9,106.96,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_2127_length_284_cov_7.200873|F,NR_134367,100,525,1.08E-149,Trichoderma paraviridescens CBS 119321 ITS region; from TYPE material,,,,,,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,403,"Nichols Creek, Dunedin",Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,multifida,Tripartite,Foliose,"Cool, semi-arid"
213,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unidentified,unidentified,unidentified,403,"Nichols Creek, Dunedin",Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,multifida,Tripartite,Foliose,"Cool, semi-arid"
214,10.86,26966,11635,268,9,0,0,32149422,23624472,1691288,108373,0,0,19687,14713,29412436,44.71,1831,1132,5060,10164,0,0,0,0,0,0,0,2.45,12282,12190,92,0,0,1127.6,10,0.2,"T1PKS, terpene, NRPS",72862,7286.2,6803,1,0.023495832,0.023495832,0.996568492,,,,,,,793 (60.44%),790 (60.21%),3 (0.23%),358 (27.29%),161 (12.27%),unidentified,unidentified,unidentified,unidentified,404,Knight's bush,Lecanoromycetes,Peltigerales,Lobariaceae,Yarrumia,colensoi,Tripartite,Foliose,"Cold, sub-humid"
215,0.29,6697,2,0,0,0,0,1766688,8021,0,0,0,0,59,4675,42362,54.79,628,544,21,39,74776,37388,37388,3.02,2.95,6,99.98,23.61,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_3315_length_249_cov_5.798969|F|ITS2,NR_152286,100,274,2.10E-74,Cladosporium angustiherbarum ITS region; from TYPE material,,,,,,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,404,Knight's bush,Lecanoromycetes,Peltigerales,Lobariaceae,Yarrumia,colensoi,Tripartite,Foliose,"Cold, sub-humid"
216,0.19,493,0,0,0,0,0,120413,0,0,0,0,0,6,622,3343,49.69,554,539,3,5,43367,21671,21671,7.95,7.86,63,100,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,unidentified,unidentified,unidentified,unidentified,407,Knight's Bush,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,granulata,Tripartite,Foliose,"Cold, sub-humid"
217,2.29,21036,171,1,0,0,0,7099310,239991,5238,0,0,0,2338,5238,1612568,44.17,658,560,907,1573,627646,313535,313535,29.51,29.17,12,99.98,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_177_length_990_cov_124.065241|F,NR_103632,91.68,830,0.00E+00,Mucor genevensis CBS 114.08 ITS region; from TYPE material,9 (0.7%),9 (0.7%),0,43 (3.3%),1260 (96.0%),Mucoromycetes,Mucorales,Mucoraceae,Mucor,407,Knight's Bush,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,granulata,Tripartite,Foliose,"Cold, sub-humid"
218,14.93,22374,11623,614,20,0,0,33221305,27091806,3934843,222152,0,0,17603,13482,31417652,51.04,2306,1384,4274,8643,0,0,0,0,0,0,0,0.51,11270,11154,116,0,0,1149.55,20,0.15,"T1PKS, NRPS-like, NRPS",139886,6994.3,6578,1,0.03891328,0.03891328,1.127135998,NODE_4705_length_2185_cov_46.340136|F,NR_138447,99.417,935,0.00E+00,Trichoderma virilente DAOM 234234 ITS region; from reference material,806 (61.43%),800 (60.98%),6 (0.46%),334 (25.46%),172 (13.11%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,407,Knight's Bush,Lecanoromycetes,Peltigerales,Lobariaceae,Pseudocyphellaria,granulata,Tripartite,Foliose,"Cold, sub-humid"
219,2.43,11239,162,2,1,0,0,3834583,234072,17887,10982,0,0,1354,10982,1000449,40.88,700,580,489,886,557328,278196,278196,59.06,58.49,39,99.92,62.97,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,NODE_27_length_1600_cov_582.308091|F,NR_152948,99.84,1151,0,Mucor hiemalis f. hiemalis CBS 201.65 ITS region; from TYPE material,,,,,,Mucoromycetes,Mucorales,Mucoraceae,Mucor,422,Maruia Falls,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,membranacea,Cyano,Foliose,"Mild, humid"
220,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unidentified,unidentified,unidentified,422,Maruia Falls,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,membranacea,Cyano,Foliose,"Mild, humid"
221,67.33,15882,1874,252,83,4,0,10646693,5641252,2413150,1254918,113399,0,4225,29120,7253491,60.41,2721,1105,587,1683,6595571,3296253,3296253,86.59,86.28,100,99.89,98.57,,,,,,,2,0,"hserlactone, NRPS",15281,7640.5,7640.5,1,0.072077836,0.072077836,0.864502281,,,,,,,,,,,,unidentified,unidentified,unidentified,unidentified,422,Maruia Falls,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,membranacea,Cyano,Foliose,"Mild, humid"
222,38.79,9152,6317,2164,628,21,0,31810403,30391125,19780916,9048522,620717,0,7466,40795,31223446,47.37,6634,3611,1441,3017,0,0,0,0,0,0,0,1.06,10499,10393,106,0,0,1506.85,30,0.07,"T3PKS, NRPS-like, other, terpene, T1PKS, NRPS",352883,11762.77,10658,1,0.053521634,0.053521634,2.023082386,,,,,,,1229 (93.67%),1226 (93.45%),3 (0.23%),71 (5.41%),12 (0.91%),unidentified,unidentified,unidentified,unidentified,422,Maruia Falls,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,membranacea,Cyano,Foliose,"Mild, humid"
223,44.18,4155,971,121,27,2,0,4267371,2743398,1048572,402113,54971,0,2075,29786,3507986,61.34,2520,1101,322,864,3733993,1866087,1866087,83.76,83.44,114,99.95,33.64,,,,,,,3,0,"RiPP-like, PKS-like, NRPS",19703,6567.67,5934,1,0.140797441,0.140797441,0.852939255,,,,,,,,,,,,unidentified,unidentified,unidentified,unidentified,422,Maruia Falls,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,membranacea,Cyano,Foliose,"Mild, humid"
224,70.54,11185,8043,3165,1115,70,1,46140409,44539814,31805677,17376893,2218066,54361,9387,54361,45509527,48.91,7879,4294,1723,3668,0,0,0,0,0,0,0,3.47,15468,15199,269,0,0,1445.01,42,0.31,"indole, T3PKS, NRPS-like, terpene, T1PKS, betalactone, NRPS",606555,14441.79,12009.5,1,0.013211008,0.013211008,1.551341561,NODE_6701_length_1708_cov_155.507906|F,NR_159865,100,418,2.78E-117,Fusarium foetens CBS 110286 ITS region; from TYPE material,1267 (96.57%),1253 (95.5%),14 (1.07%),34 (2.59%),11 (0.84%),Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,422,Maruia Falls,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,membranacea,Cyano,Foliose,"Mild, humid"
225,34.25,23944,10846,782,39,1,0,33542578,26869931,5251579,500469,36089,0,16434,36089,30854900,50.35,2529,1450,3729,7772,9501663,4748305,4748305,95.41,95.07,35,99.98,2.53,11589,11507,82,0,0,1278.03,22,0.05,"T1PKS, NRPS-like, NRPS",200797,9127.14,7456,1,0.032792988,0.032792988,1.446415643,NODE_13091_length_745_cov_107.003236|F,NR_130668,99.029,922,0.00E+00,Trichoderma asperellum CBS 433.97 ITS region; from TYPE material,1041 (79.34%),1037 (79.04%),4 (0.3%),210 (16.01%),61 (4.65%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,422,Maruia Falls,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,membranacea,Cyano,Foliose,"Mild, humid"
226,12.3,28444,9180,100,2,0,0,27138588,16728862,607755,24257,0,0,18632,12739,23455382,51.71,1478,931,5055,10075,3388362,1693612,1693612,87.39,87.15,15,99.99,0.38,9402,9371,31,0,0,976.39,8,0.38,"T1PKS, NRPS",64551,8068.88,7186.5,1,0.02167967,0.02167967,0.649625733,NODE_4898_length_1500_cov_100.331391|F|ITS2,NR_130668,100,318,1.14E-87,Trichoderma asperellum CBS 433.97 ITS region; from TYPE material,592 (45.12%),591 (45.05%),1 (0.08%),421 (32.09%),299 (22.79%),Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,422,Maruia Falls,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,membranacea,Cyano,Foliose,"Mild, humid"
227,6.69,31002,7370,17,0,0,0,23648914,12134614,98638,0,0,0,17187,6871,19120077,57.1,1236,825,5054,9803,1787162,892939,892939,83.86,83.08,9,99.98,13.7,9759,9720,39,0,0,767.15,0,0,,0,0,0,0,0,0,0,NODE_30396_length_212_cov_32.936306|F|ITS1,NR_158239,100,259,5.50E-70,Neoascochyta triticicola CBS 544.74 ITS region; from TYPE material,429 (32.7%),428 (32.62%),1 (0.08%),499 (38.03%),384 (29.27%),Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta,422,Maruia Falls,Lecanoromycetes,Peltigerales,Peltigeraceae,Peltigera,membranacea,Cyano,Foliose,"Mild, humid"
228,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unidentified,unidentified,unidentified,430,"Embo St, Dunedin",Lecanoromycetes,Teloschistales,Teloschistaceae,Teloschistes,chrysophthalmus,Green,Fruticose,"Cool, sub-humid"
